genere,genere_collegato,relazione
tin pan alley,vaudeville,influenced by
nhạc đỏ,western classical,influenced by
western classical,baroque suite,subgenre
trap,no melody trap,subgenre
techno,hard techno,subgenre
hard techno,acid techno,influenced by
concerto,concerto grosso,subgenre
western classical,serenade,subgenre
canción melódica,música cebolla,subgenre
kidandali,soukous,influenced by
tecnofunk,funk brasileiro,fusion of
tecnofunk,tecnobrega,fusion of
vaporwave,slushwave,subgenre
slushwave,ambient,influenced by
edm,cruise,subgenre
cruise,amapiano,influenced by
cruise,gqom,influenced by
western classical,divertissement,subgenre
plainchant,mozarabic chant,subgenre
calypso,calipso venezolano,subgenre
hardcore techno,powerstomp,subgenre
powerstomp,hardstyle,influenced by
powerstomp,uk hardcore,influenced by
canzone d'autore,chanson française,influenced by
canzone d'autore,folk,influenced by
plainchant,beneventan chant,subgenre
modern hardtek,raggatek,subgenre
raggatek,dancehall,influenced by
raggatek,ragga,influenced by
raggatek,reggae,influenced by
folk,biraha,subgenre
progressive psytrance,zenonesque,subgenre
plainchant,old roman chant,subgenre
pop,pop minang,subgenre
march,funeral march,subgenre
flamenco,bulería,subgenre
funk automotivo,house,influenced by
kyivan chant,znamenny chant,influenced by
reggaeton,bachatón,subgenre
bachatón,bachata,influenced by
lambada,guitarrada,subgenre
kirtan,shabad kirtan,subgenre
western classical,sinfonia concertante,subgenre
sinfonia concertante,concerto,fusion of
sinfonia concertante,symphony,fusion of
concerto,concerto for orchestra,subgenre
contemporary folk,neofolklore,subgenre
nueva canción chilena,neofolklore,influenced by
mchiriku,ngoma,influenced by
singeli,mchiriku,influenced by
beat music,merseybeat,subgenre
ambient,kankyō ongaku,subgenre
electronic,sampledelia,subgenre
sampledelia,psychedelic,influenced by
d-beat,raw punk,subgenre
breakbeat,west coast breaks,subgenre
west coast breaks,breakbeat hardcore,influenced by
west coast breaks,progressive house,influenced by
west coast breaks,techno,influenced by
west coast breaks,trance,influenced by
edm,dark disco,subgenre
dark disco,disco,influenced by
dark disco,ebm,influenced by
dark disco,new beat,influenced by
western classical,cinematic classical,subgenre
cinematic classical,modern classical,influenced by
cinematic classical,romantic classical,influenced by
pop,pop kreatif,subgenre
pop kreatif,city pop,influenced by
orkes gambus,nasheed,influenced by
new age,native american new age,subgenre
new age,andean new age,subgenre
reggaeton,cumbiatón,subgenre
loud kei,deathcore,influenced by
house,melodic house,subgenre
melodic house,deep house,influenced by
melodic house,melodic techno,influenced by
melodic house,progressive house,influenced by
contemporary r&b,alternative r&b,subgenre
pop punk,neon pop punk,subgenre
hardcore techno,hyper techno,subgenre
hyper techno,belgian techno,influenced by
maloya,maloya élektrik,subgenre
maloya élektrik,afrobeat,influenced by
maloya élektrik,funk,influenced by
maloya élektrik,psychedelic,influenced by
hindustani classical,tappa,subgenre
trap,trap latino,subgenre
trap latino,alternative r&b,influenced by
trap latino,contemporary r&b,influenced by
trap latino,reggaeton,influenced by
house,uk jackin,subgenre
uk jackin,bassline,influenced by
zarzuela,género chico,subgenre
funk brasileiro,tamborzão,subgenre
tamborzão,miami bass,influenced by
funk brasileiro,funk de bh,subgenre
church music,zema,subgenre
denpa,moe song,subgenre
memphis rap,dungeon rap,subgenre
dungeon rap,dungeon synth,influenced by
trap soul,contemporary r&b,fusion of
trap soul,trap,fusion of
western classical,ricercar,subgenre
zarzuela,género grande,subgenre
merengue,tecnomerengue,subgenre
tecnomerengue,cumbia,influenced by
tecnomerengue,lambada,influenced by
house,jackin house,subgenre
jackin house,edm,influenced by
jackin house,funky house,influenced by
jazz guachaca,bolero,influenced by
jazz guachaca,corrido,influenced by
jazz guachaca,cueca,influenced by
jazz guachaca,jazz,influenced by
jazz guachaca,tango,influenced by
cumbia,cumbia chilena,subgenre
glitch hop edm,ghetto funk,subgenre
ghetto funk,funk,influenced by
ghetto funk,hip hop,influenced by
ghetto funk,soul,influenced by
pluggnb,asian rock,subgenre
slacker rock,shitgaze,subgenre
shitgaze,garage rock,influenced by
shitgaze,noise rock,influenced by
shitgaze,shoegaze,influenced by
zarzuela,zarzuela barroca,subgenre
western classical,concert band,subgenre
spirituals,ring shout,influenced by
dancehall,zess,subgenre
zess,soca,influenced by
poetry,cowboy poetry,subgenre
brostep,tearout brostep,subgenre
tearout brostep,deathstep,influenced by
soca,bashment soca,subgenre
bashment soca,dancehall,influenced by
neo-psychedelia,psichedelia occulta italiana,subgenre
turntablism,battle record,subgenre
afrobeats,alté,subgenre
hip hop,hipco,subgenre
genge,gengetone,subgenre
gengetone,reggaeton,influenced by
ballet,ballet de cour,subgenre
dubstep,tearout,subgenre
brostep,tearout,influenced by
plainchant,celtic chant,subgenre
breakbeat,psybreaks,subgenre
psybreaks,goa trance,influenced by
psybreaks,psytrance,influenced by
trap,regalia,subgenre
regalia,cloud rap,influenced by
regalia,plugg,influenced by
tech house,rominimal,subgenre
rominimal,microhouse,influenced by
rominimal,minimal techno,influenced by
hip hop,lowend,subgenre
lowend,bounce,influenced by
funk brasileiro,mega funk,subgenre
mega funk,brazilian bass,influenced by
mega funk,slap house,influenced by
hip hop,ratchet music,subgenre
ratchet music,crunk,influenced by
ratchet music,hyphy,influenced by
ratchet music,jerk rap,influenced by
ratchet music,snap,influenced by
hardcore techno,deathchant hardcore,subgenre
deathchant hardcore,breakbeat hardcore,influenced by
deathchant hardcore,gabber,influenced by
comedy hip hop,chap hop,subgenre
chap hop,music hall,influenced by
chap hop,nerdcore,influenced by
pop punk,seishun punk,subgenre
edm,ori deck,subgenre
ori deck,dubstep,influenced by
ori deck,moombahton,influenced by
modal jazz,jazz mugham,subgenre
jazz mugham,mugham,influenced by
wave,neo-grime,subgenre
neo-grime,grime,influenced by
hapa haole,jazz,influenced by
hapa haole,traditional pop,influenced by
andalusian classical,malouf,subgenre
staïfi,malouf,influenced by
rock,reggae rock,subgenre
reggae rock,reggae-pop,influenced by
reggae rock,roots reggae,influenced by
pop minang,talempong goyang,subgenre
talempong goyang,talempong,influenced by
folk,work song,subgenre
work song,aboio,subgenre
work song,sea shanty,subgenre
work song,shan'ge,subgenre
chinese opera,henan opera,subgenre
dancehall,gommance,subgenre
gommance,afro trap,influenced by
gommance,reggaeton,influenced by
vocal jazz,vocalese,subgenre
folk,fijiri,subgenre
folk rock,rock rural,subgenre
rock rural,country rock,influenced by
rock rural,mpb,influenced by
rock rural,sertanejo,influenced by
edm,dariacore,subgenre
dariacore,future bass,influenced by
dariacore,jersey club,influenced by
dariacore,nightcore,influenced by
brostep,briddim,subgenre
briddim,riddim dubstep,influenced by
contemporary folk,stomp and holler,subgenre
stomp and holler,folk pop,influenced by
stomp and holler,indie folk,influenced by
tân cổ giao duyên,cải lương,influenced by
tân cổ giao duyên,nhạc vàng,influenced by
tân cổ giao duyên,vietnamese bolero,influenced by
sound effects,broadband noise,subgenre
house,phonk house,subgenre
phonk house,drift phonk,influenced by
vaigat,country,influenced by
vaigat,swing,influenced by
vaigat,western,influenced by
chinese opera,yangzhou opera,subgenre
indie pop,tontipop,subgenre
tontipop,bubblegum pop,influenced by
tontipop,synth-pop,influenced by
tontipop,twee pop,influenced by
tontipop,yé-yé,influenced by
avanzada,guarania,fusion of
avanzada,polka paraguaya,fusion of
avanzada,bossa nova,influenced by
avanzada,mpb,influenced by
barbershop,jubilee,subgenre
jubilee,spirituals,influenced by
folk,isa,subgenre
folk,tonada asturiana,subgenre
tonada asturiana,lied,influenced by
jazz,spiritual jazz,subgenre
spiritual jazz,free jazz,influenced by
edm,aquacrunk,subgenre
aquacrunk,dubstep,influenced by
aquacrunk,grime,influenced by
post-metal,doomgaze,subgenre
doomgaze,doom metal,influenced by
doomgaze,drone metal,influenced by
doomgaze,shoegaze,influenced by
pop,t-pop,subgenre
funk brasileiro,funk carioca,subgenre
funk melody,funk carioca,influenced by
funk proibidão,funk carioca,influenced by
funk carioca,miami bass,influenced by
vaporwave,eccojams,subgenre
folk,new mexico music,subgenre
new mexico music,country,influenced by
loud kei,metalcore,influenced by
loud kei,nu metal,influenced by
islamic modal music,uyghur muqam,subgenre
hardcore techno,darkcore edm,subgenre
darkcore edm,gabber,influenced by
ballet,comédie-ballet,subgenre
comédie-ballet,ballet de cour,influenced by
hip hop,jersey club rap,subgenre
jersey club rap,jersey club,influenced by
grindcore,noisegrind,subgenre
noisegrind,noise,influenced by
jazz,kréyol djaz,subgenre
kréyol djaz,bélé,influenced by
kréyol djaz,biguine,influenced by
kréyol djaz,gwo ka,influenced by
metalcore,downtempo deathcore,subgenre
downtempo deathcore,deathcore,influenced by
funk brasileiro,eletrofunk,subgenre
eletrofunk,electro house,influenced by
plainchant,gallican chant,subgenre
forró eletrônico,forró de favela,subgenre
funk brasileiro,beat bolha,subgenre
beat bolha,funk carioca,influenced by
psychedelic folk,udigrudi,subgenre
children's music,lullaby,subgenre
funk brasileiro,beat fino,subgenre
hip hop,jerk,subgenre
jerk,jerk rap,influenced by
jerk,lowend,influenced by
jerk,plugg,influenced by
mantra,tibetan buddhist chant,subgenre
cubatón,reparto,subgenre
anglican chant,sarum chant,influenced by
gregorian chant,sarum chant,subgenre
folk,baguala,subgenre
guaracha santiagueña,chacarera,fusion of
guaracha santiagueña,chamamé,fusion of
guaracha santiagueña,cuarteto,influenced by
guaracha santiagueña,cumbia,influenced by
vaporwave,vapornoise,subgenre
vapornoise,drone,influenced by
vapornoise,glitch,influenced by
vapornoise,noise,influenced by
acholitronix,edm,influenced by
changjak gugak,western classical,influenced by
tin pan alley,parlour music,influenced by
trap,new jazz,subgenre
chazzanut,ashkenazi cantorial music,subgenre
ashkenazi cantorial music,western classical,influenced by
western classical,fugue,subgenre
heavy metal,us power metal,subgenre
funk mandelão,brazilian phonk,subgenre
brazilian phonk,beat bruxaria,influenced by
brazilian phonk,phonk house,influenced by
carnatic classical,konnakol,subgenre
poetry,ngâm thơ,subgenre
hindustani classical,tarana,subgenre
mbolé,bend-skin,influenced by
mbolé,bikutsi,influenced by
mbolé,makossa,influenced by
nhạc tiền chiến,tango,influenced by
nhạc tiền chiến,waltz,influenced by
nhạc vàng,nhạc tiền chiến,influenced by
hip hop,philly club rap,subgenre
philly club rap,philly club,influenced by
electronic,graphical sound,subgenre
trap,rage,subgenre
rage,cloud rap,influenced by
rage,digicore,influenced by
rage,future bass,influenced by
rage,plugg,influenced by
tradi-moderne ivoirien,congolese rumba,influenced by
tradi-moderne ivoirien,funk,influenced by
tradi-moderne ivoirien,highlife,influenced by
tradi-moderne ivoirien,jazz,influenced by
tradi-moderne ivoirien,soul,influenced by
hardcore techno,amigacore,subgenre
amigacore,gabber,influenced by
reparto,salsa,influenced by
garage rock,frat rock,subgenre
frat rock,r&b,influenced by
frat rock,rock and roll,influenced by
folk,ländlermusik,subgenre
javanese gamelan,gamelan surakarta,subgenre
edm,hypertechno,subgenre
house,stutter house,subgenre
stutter house,future garage,influenced by
stutter house,melodic house,influenced by
stutter house,progressive house,influenced by
harana,habanera,influenced by
harana,mariachi,influenced by
r&b,beach music,subgenre
beach music,pop,influenced by
beach music,soul,influenced by
bluegrass,traditional bluegrass,subgenre
black metal,dissonant black metal,subgenre
drill,new york drill,subgenre
new york drill,uk drill,influenced by
new york drill,sexy drill,subgenre
sexy drill,contemporary r&b,influenced by
new york drill,sample drill,subgenre
shaabi,raqs baladi,influenced by
gospel,urban contemporary gospel,subgenre
urban contemporary gospel,contemporary christian,influenced by
urban contemporary gospel,contemporary r&b,influenced by
urban contemporary gospel,hip hop,influenced by
brass band,dechovka,subgenre
funk brasileiro,trapfunk,subgenre
trapfunk,trap,influenced by
chanson française,chanson québécoise,subgenre
chanson québécoise,folk,influenced by
waltz,vals venezolano,subgenre
vals venezolano,joropo,influenced by
church music,russian orthodox liturgical music,subgenre
russian orthodox liturgical music,byzantine chant,influenced by
russian orthodox liturgical music,kyivan chant,subgenre
russian orthodox liturgical music,znamenny chant,subgenre
byzantine chant,sticheron,subgenre
byzantine chant,troparion,subgenre
byzantine chant,kontakion,subgenre
marching band,drum and bugle corps,subgenre
funk mandelão,ritmada,subgenre
go-go,bounce beat,subgenre
nóta,art song,influenced by
hindustani classical,klasik,subgenre
maloya,maloya électronique,subgenre
maloya électronique,edm,influenced by
house,jazz house,subgenre
jazz house,jazz,influenced by
western classical,capriccio,subgenre
noiadance,dutch house,fusion of
noiadance,funk brasileiro,fusion of
noiadance,latin house,influenced by
noiadance,moombahton,influenced by
muzika mizrahit,muzikat dika'on,subgenre
marching band,guggenmusik,subgenre
western classical,canzona,subgenre
soul,progressive soul,subgenre
brazilian phonk,funk automotivo,influenced by
breakbeat,funky breaks,subgenre
funky breaks,big beat,influenced by
funky breaks,funk,influenced by
funky breaks,soul,influenced by
c-pop,gufeng,subgenre
gufeng,zhongguo feng,influenced by
western classical,impromptu,subgenre
frevo,frevo de rua,subgenre
frevo,frevo de bloco,subgenre
frevo de bloco,marchinha,influenced by
cumbia peruana,cumbia amazónica,subgenre
cumbia amazónica,psychedelic rock,influenced by
cumbia amazónica,surf rock,influenced by
western classical,bagatelle,subgenre
marching band,beni,subgenre
frevo,frevo-canção,subgenre
western classical,character piece,subgenre
edm,post-dubstep,subgenre
post-dubstep,ambient,influenced by
post-dubstep,contemporary r&b,influenced by
post-dubstep,dubstep,influenced by
western classical,theme and variations,subgenre
chinese classical,nanguan,subgenre
cumbia sonidera,cumbia rebajada,subgenre
glam metal,sleaze rock,subgenre
sleaze rock,blues rock,influenced by
sleaze rock,glam punk,influenced by
poetry,punk poetry,subgenre
electro hop,house,influenced by
electro hop,southern hip hop,influenced by
speech,sermon,subgenre
noise rock,pigfuck,subgenre
pigfuck,no wave,influenced by
pigfuck,post-hardcore,influenced by
pigfuck,post-punk,influenced by
electronic,krushclub,subgenre
krushclub,edm,influenced by
krushclub,hexd,influenced by
guangdong yinyue,cantonese opera,influenced by
guangdong yinyue,quyi,influenced by
poetry,kakawin,subgenre
gangsta rap,scam rap,subgenre
scam rap,detroit trap,influenced by
regional mexicano,grupera,subgenre
modern hardtek,pumpcore,subgenre
lullaby,batonebi songs,subgenre
batonebi songs,iavnana,subgenre
sound collage,spamwave,subgenre
spamwave,noise,influenced by
spamwave,vaporwave,influenced by
q-pop,k-pop,influenced by
hauntology,ambient,influenced by
hands up,buchiage trance,subgenre
buchiage trance,eurobeat,influenced by
folk,scottish country dance music,subgenre
sovietwave,ambient,influenced by
sovietwave,progressive electronic,influenced by
rock,rock urbano mexicano,subgenre
rock urbano mexicano,blues rock,influenced by
rock urbano mexicano,folk rock,influenced by
rock urbano mexicano,hard rock,influenced by
gospel,praise break,subgenre
praise break,ring shout,influenced by
drill,free car music,subgenre
chinese opera,kunqu,subgenre
electro-disco,red disco,subgenre
twoubadou,guajira,influenced by
twoubadou,méringue,influenced by
dance-punk,dance-punk revival,subgenre
dance-punk revival,alternative dance,influenced by
dance-punk revival,edm,influenced by
dance-punk revival,hip hop,influenced by
dance-punk revival,post-punk revival,influenced by
metalcore,thall,subgenre
thall,djent,influenced by
thall,post-metal,influenced by
toypop,folk,influenced by
toypop,western classical,influenced by
pop,toytown pop,subgenre
toytown pop,psychedelic pop,influenced by
folk,trikitixa,subgenre
modern classical,process music,subgenre
sizhu music,jiangnan sizhu,subgenre
exotica,sitarsploitation,subgenre
edm,slimepunk,subgenre
slimepunk,brostep,influenced by
slimepunk,halftime,influenced by
slimepunk,trap edm,influenced by
indian pop,bhojpuri pop,subgenre
cumbia peruana,chicha,subgenre
chicha,guaracha,influenced by
chicha,huayno,influenced by
chicha,psychedelic rock,influenced by
chicha,salsa,influenced by
frevo,frevo elétrico,subgenre
twee pop,cuddlecore,subgenre
cuddlecore,garage rock,influenced by
cuddlecore,power pop,influenced by
plugg,ambient plugg,subgenre
ambient plugg,ambient,influenced by
psychedelic folk,wyrd folk,subgenre
reggaeton,romantic flow,subgenre
romantic flow,contemporary r&b,influenced by
romantic flow,latin pop,influenced by
drill,philly drill,subgenre
trance,hi-tech full-on,subgenre
hi-tech full-on,complextro,influenced by
hi-tech full-on,full-on,influenced by
afro house,3-step,subgenre
3-step,amapiano,influenced by
3-step,broken beat,influenced by
3-step,deep house,influenced by
western classical,passion setting,subgenre
garage rock,garage psych,subgenre
garage psych,psychedelic rock,influenced by
christian rock,xian psych,subgenre
xian psych,psychedelic pop,influenced by
xian psych,psychedelic rock,influenced by
nature sounds,rain sounds,subgenre
kwaito,bacardi,subgenre
bacardi,shangaan electro,influenced by
minimal drum and bass,microfunk,subgenre
microfunk,idm,influenced by
j-pop,wa euro,subgenre
wa euro,eurobeat,influenced by
wa euro,hi-nrg,influenced by
psychedelic,psychploitation,subgenre
edm,melodic bass,subgenre
melodic bass,future bass,influenced by
melodic bass,melodic dubstep,influenced by
pop rap,frat rap,subgenre
tassa,dhol tasha,influenced by
american gamelan,gamelan,fusion of
american gamelan,modern classical,fusion of
gangsta rap,mafioso rap,subgenre
minimal drum and bass,autonomic,subgenre
autonomic,dubstep,influenced by
autonomic,future garage,influenced by
maddahi,shoor,subgenre
new beat,hard beat,subgenre
hard beat,ebm,influenced by
hard beat,industrial,influenced by
hardcore techno,hard beat,influenced by
western classical,english pastoral school,subgenre
english pastoral school,folk,influenced by
western classical,concertina band,subgenre
concertina band,british brass band,influenced by
western classical,string quartet,subgenre
western classical,symphonic mugham,subgenre
symphonic mugham,mugham,influenced by
work song,haozi,subgenre
reggae,deejay,subgenre
dancehall,deejay,influenced by
hardstyle,nustyle,subgenre
nustyle,jumpstyle,influenced by
nustyle,nu style gabber,influenced by
country rock,cosmic country,subgenre
cosmic country,psychedelic rock,influenced by
worldbeat,folk,influenced by
hardstyle,early hardstyle,subgenre
early hardstyle,hard trance,influenced by
contemporary folk,loner folk,subgenre
huayno,chimayche,subgenre
plugg,terror plugg,subgenre
terror plugg,dark plugg,influenced by
pop,electro hop,subgenre
punk poetry,beat poetry,influenced by
punk poetry,dub poetry,influenced by
punk poetry,punk,influenced by
cumbia,cumbia salvadoreña,subgenre
cumbia salvadoreña,xuc,influenced by
drum and bass,deep drum and bass,subgenre
rock,beat rock,subgenre
beat rock,new wave,influenced by
beat rock,pop rock,influenced by
beat rock,punk rock,influenced by
visual kei,beat rock,influenced by
riddim dubstep,liquid riddim,subgenre
liquid riddim,downtempo,influenced by
liquid riddim,lo-fi hip hop,influenced by
pacific reggae,jawaiian,subgenre
chamamé,chamamé tropical,subgenre
chamamé tropical,cumbia,influenced by
bounce,sissy bounce,subgenre
hardcore techno,frapcore,subgenre
frapcore,gabber,influenced by
frapcore,hip hop,influenced by
chinese opera,sichuan opera,subgenre
hardcore punk,christian hardcore,subgenre
metalcore,progressive metalcore,subgenre
progressive metalcore,progressive metal,influenced by
son nica,ranchera,influenced by
son de pascua,villancico,influenced by
central asian throat singing,kai,subgenre
reggaeton,doble paso,subgenre
houston sound,chopped and screwed,influenced by
hardcore hip hop,chopper,subgenre
eurobeat,j-euro,subgenre
hip hop,stoner rap,subgenre
polka,chicago polka,subgenre
dancehall,trap dancehall,subgenre
trap dancehall,trap,influenced by
ragtime,ragtime song,subgenre
gangsta rap,coke rap,subgenre
drum and bass,technoid,subgenre
technoid,darkstep,influenced by
technoid,neurofunk,influenced by
technoid,techno,influenced by
city pop,neo-city pop,subgenre
work song,industrial folk song,subgenre
polka,eastern-style polka,subgenre
eastern-style polka,big band,influenced by
eastern-style polka,jazz,influenced by
eastern-style polka,swing,influenced by
jazz,sweet jazz,subgenre
sweet jazz,western classical,influenced by
surf,hot rod music,subgenre
hip hop,houston sound,subgenre
folk,turkish folk,subgenre
turkish folk,zeybek,subgenre
pop,turkish pop,subgenre
turkish pop,arabesk,influenced by
turkish pop,turkish folk,influenced by
ragtime,classic ragtime,subgenre
classic ragtime,western classical,influenced by
hungarian folk,csárdás,subgenre
hungarian folk,nóta,subgenre
folk,hungarian folk,subgenre
hungarian folk,pásztordal,subgenre
dark wave,neue deutsche todeskunst,subgenre
neue deutsche todeskunst,dark ambient,influenced by
neue deutsche todeskunst,gothic rock,influenced by
neue deutsche todeskunst,industrial,influenced by
modern classical,neoromanticism,subgenre
neoromanticism,expressionism,influenced by
neoromanticism,impressionism,influenced by
neoromanticism,romantic classical,influenced by
slowed & reverb,chopped and screwed,influenced by
slowed & reverb,vaporwave,influenced by
country pop,boyfriend country,subgenre
boyfriend country,contemporary r&b,influenced by
boyfriend country,soft rock,influenced by
funk brasileiro,funk consciente,subgenre
visual kei,soft visual,subgenre
sertanejo universitário,agronejo,subgenre
folk,drinking song,subgenre
folk,rabbit song,subgenre
work song,military cadence,subgenre
neon pop punk,electronic,influenced by
industrial rock,machine rock,subgenre
piyyut,zemirot,subgenre
uk garage,dark garage,subgenre
dark garage,drum and bass,influenced by
dark garage,dub,influenced by
dubstep,dark garage,influenced by
rawstyle,xtra raw,subgenre
xtra raw,uptempo hardcore,influenced by
hard rock,rock kapak,subgenre
rock kapak,glam metal,influenced by
rock kapak,heavy metal,influenced by
séga,traditional séga,subgenre
traditional séga,séga tambour,subgenre
spirituals,concert spiritual,subgenre
concert spiritual,western classical,influenced by
jazz,neo-bop,subgenre
neo-bop,modal jazz,influenced by
edm,neo rave,subgenre
neo rave,hard techno,influenced by
neo rave,hardstyle,influenced by
hip hop,samba rap,subgenre
samba rap,samba,influenced by
trance,trance 2.0,subgenre
trance 2.0,festival progressive house,influenced by
trance 2.0,melodic trance,influenced by
trance 2.0,progressive trance,influenced by
piosenka aktorska,cabaret,influenced by
piosenka aktorska,musical,influenced by
cueca,cueca brava,subgenre
tbm,ebm,fusion of
tbm,techno,fusion of
mugithi,benga,influenced by
mugithi,country,influenced by
avant-garde jazz,free funk,subgenre
jazz-funk,free funk,subgenre
free funk,free jazz,influenced by
free funk,funk,influenced by
synthwave,dreamwave,subgenre
dreamwave,ambient,influenced by
dreamwave,dream pop,influenced by
trance,electro trance,subgenre
electro trance,electro house,influenced by
electro trance,tech trance,influenced by
march,música festera,subgenre
waila,cumbia,influenced by
waila,norteño,influenced by
waila,polka,influenced by
art song,spiritual art song,subgenre
concert spiritual,spiritual art song,subgenre
post-hardcore,pop screamo,subgenre
pop screamo,alternative rock,influenced by
pop screamo,emo,influenced by
pop screamo,metalcore,influenced by
pop screamo,screamo,influenced by
edm,hardtekk,subgenre
hardtekk,hard techno,influenced by
hardtekk,hardstyle,influenced by
jazz,paramaribop,subgenre
paramaribop,bebop,influenced by
paramaribop,kaseko,influenced by
chinese classical,yanyue,subgenre
folk,nepali lok geet,subgenre
dungeon synth,keller synth,subgenre
keller synth,black metal,influenced by
synthwave,outrun,subgenre
outrun,electro house,influenced by
seresta,modinha,influenced by
seresta,serenade,influenced by
seresta,valsa brasileira,influenced by
huayno,chuscada,subgenre
russian orthodox liturgical music,valaam chant,subgenre
breakbeat hardcore,jungle techno,subgenre
jungle techno,techno,influenced by
jungle,jungle techno,influenced by
cumbia peruana,cumbia sureña peruana,subgenre
cumbia peruana,cumbia norteña peruana,subgenre
schlager,partyschlager,subgenre
partyschlager,edm,influenced by
traditional black gospel,gospel hymn,influenced by
garage punk,budget rock,subgenre
budget rock,rock and roll,influenced by
budget rock,surf rock,influenced by
mgodro,salegy,influenced by
progressive house,epic house,subgenre
epic house,progressive trance,influenced by
dungeon chip,bit music,influenced by
edm,toytown techno,subgenre
toytown techno,breakbeat,influenced by
toytown techno,jungle,influenced by
toytown techno,techno,influenced by
hardcore punk,tough guy hardcore,subgenre
tough guy hardcore,hip hop,influenced by
tough guy hardcore,metal,influenced by
tough guy hardcore,oi,influenced by
beatdown hardcore,tough guy hardcore,influenced by
j-core,hard renaissance,subgenre
hard renaissance,artcore,influenced by
hard renaissance,western classical,influenced by
bedoui wahrani,malhun,influenced by
ngoma,chakacha,subgenre
folk punk,rustic stomp,subgenre
rustic stomp,celtic punk,influenced by
rustic stomp,psychobilly,influenced by
huayno,huayno con arpa,subgenre
huayno con arpa,chicha,influenced by
classical crossover,operatic pop,subgenre
rock kapak,rock jiwang,subgenre
rock jiwang,pop rock,influenced by
new beat,skizzo,subgenre
skizzo,techno,influenced by
harsh noise,cut-up noise,subgenre
medieval lyric poetry,minnesang,subgenre
jibonmukhi gaan,contemporary folk,influenced by
jibonmukhi gaan,singer-songwriter,influenced by
cumbia,tecnocumbia,subgenre
gabber,dutch trancecore,subgenre
dutch trancecore,hard trance,influenced by
dutch trancecore,psytrance,influenced by
freeform hardcore,dutch trancecore,influenced by
folk,fahrtenlied,subgenre
reggae,reggae panameño,subgenre
reggae panameño,dancehall,influenced by
reggaeton,reggae panameño,influenced by
cumbia,cachaca,subgenre
cachaca,cumbia colombiana,influenced by
cachaca,cumbia mexicana,influenced by
cachaca,grupera,influenced by
cumbia peruana,cumbia sanjuanera,subgenre
cumbia sanjuanera,sanjuanito,influenced by
medieval lyric poetry,troubadour song,subgenre
minnesang,troubadour song,influenced by
post-hardcore,progressive post-hardcore,subgenre
progressive post-hardcore,swancore,subgenre
